id,cue_words
BS_001,Sea________
BS_002,Dar________
BS_003,Apple________
BS_004,Super________
BS_005,First________
BS_006,Apple________
BS_007,Sky________
BS_008,Game________
BS_009,Baby________
BS_010,Candy________
BS_011,Pillow________
BS_012,Secret________
BS_013,Heart________
BS_014,Snow________
BS_015,Black________
BS_016,Cold________
BS_017,Body________
BS_018,Tooth________
BS_019,Mini________
BS_020,Game________
BS_021,Fried________
BS_022,Jelly________
BS_023,Book________
BS_024,Hang________
BS_025,Key________
BS_026,Fine________
BS_027,Time________
BS_028,________Cream
BS_029,________Car
BS_030,________Day
BS_031,________Mouth
BS_032,________Drop
BS_033,________Basket
BS_034,________Brush
BS_035,________Pie
BS_036,________Book
BS_037,________Board
BS_038,________Star
BS_039,________Drive
BS_040,________Ticket
BS_041,________House
BS_042,________Time
BS_043,________Band
BS_044,________Pass
