id,cue_words,imposter_words
IM_001,Cat,Dog
IM_002,Beach,Desert
IM_003,Pizza,Burger
IM_004,Movie,Theatre
IM_005,Sun,Moon
IM_006,Apple,Orange
IM_007,Mountain,Hill
IM_008,School,College
IM_009,Train,Bus
IM_010,Pen,Pencil
IM_011,Doctor,Nurse
IM_012,Lion,Tiger
IM_013,Football,Cricket
IM_014,Winter,Summer
IM_015,Tea,Coffee
IM_016,Phone,Tablet
IM_017,Book,Magazine
IM_018,Hotel,Resort
IM_019,Car,Truck
IM_020,Plane,Helicopter
IM_021,Clock,Watch
IM_022,Rain,Snow
IM_023,Ocean,Sea
IM_024,Shirt,T-Shirt
IM_025,King,Queen
IM_026,Forest,Jungle
IM_027,Table,Chair
IM_028,Music,Dance
IM_029,Camera,Video
IM_030,Bridge,Tunnel
IM_031,House,Apartment
IM_032,Window,Door
IM_033,Chocolate,Candy
IM_034,Chef,Cook
IM_035,Beach,Pool
IM_036,Bird,Butterfly
IM_037,Doctor,Surgeon
IM_038,Airport,Station
IM_039,Teacher,Professor
IM_040,Ice,Cube
IM_041,Candle,Lamp
IM_042,Glass,Cup
IM_043,Mirror,Window
IM_044,Computer,Laptop
IM_045,Keyboard,Mouse
IM_046,Star,Planet
IM_047,Hospital,Clinic
IM_048,Farmer,Gardener
IM_049,River,Lake
IM_050,Island,Peninsula
IM_051,Map,Globe
IM_052,Bed,Sofa
IM_053,Police,Detective
IM_054,Hospital,Pharmacy
IM_055,Leaf,Flower
IM_056,Shark,Dolphin
IM_057,Zebra,Horse
IM_058,Banana,Mango
IM_059,Carrot,Potato
IM_060,Bottle,Jar
IM_061,Brush,Comb
IM_062,Drum,Guitar
IM_063,Door,Gate
IM_064,Baby,Child
IM_065,Butter,Bread
IM_066,Cake,Pastry
IM_067,Bus,Truck
IM_068,Clock,Calendar
IM_069,King,Prince
IM_070,Queen,Princess
IM_071,Doctor,Patient
IM_072,Police,Thief
IM_073,Teacher,Student
IM_074,Parent,Child
IM_075,Robot,Human
IM_076,Alien,Monster
IM_077,Cloud,Rainbow
IM_078,Bridge,Boat
IM_079,Sunset,Sunrise
IM_080,Book,Notebook
IM_081,Radio,Television
IM_082,Pillow,Blanket
IM_083,Hospital,School
IM_084,Ice,Water
IM_085,Fire,Smoke
IM_086,Camera,Phone
IM_087,Glass,Mirror
IM_088,Rainbow,Cloud
IM_089,Cow,Buffalo
IM_090,Cat,Rabbit
IM_091,Snake,Lizard
IM_092,Frog,Turtle
IM_093,Elephant,Hippo
IM_094,Chair,Stool
IM_095,Shirt,Coat
IM_096,Socks,Shoes
IM_097,Candle,Light
IM_098,Clock,Alarm
IM_099,Key,Lock
IM_100,Book,Dictionary
