id,cue_words,difficulty_lvl,category_name
PA_001,Parrot,Easy,Animals
PA_002,Rabbit,Easy,Animals
PA_003,Turtle,Easy,Animals
PA_004,Horse,Easy,Animals
PA_005,Shark,Medium,Animals
PA_006,Crab,Medium,Animals
PA_007,Camel,Medium,Animals
PA_008,Spider,Medium,Animals
PA_009,Norwhal,Hard,Animals
PA_010,Tiger,Medium,Animals
PA_011,Duck,Medium,Animals
PA_012,Hawk,Medium,Animals
PA_013,Kangaroo,Medium,Animals
PA_014,Zebra,Medium,Animals
PA_015,Lobster,Medium,Animals
PA_016,Whale,Medium,Animals
PA_017,Cow,Medium,Animals
PA_018,Crow,Medium,Animals
PA_019,Crocodile,Medium,Animals
PA_020,Bee,Medium,Animals
PA_021,Wolf,Medium,Animals
PA_022,Lion,Medium,Animals
PA_023,Butterfly,Medium,Animals
PA_024,Cat,Medium,Animals
PA_025,Fox,Medium,Animals
PA_026,Squirrel,Medium,Animals
PA_027,Snake,Medium,Animals
PA_028,Dog,Medium,Animals
PA_029,Octopus,Medium,Animals
PA_030,Ant,Medium,Animals
PA_031,Seal,Hard,Animals
PA_032,Chicken,Hard,Animals
PA_033,Goat,Hard,Animals
PA_034,Frog,Hard,Animals
PA_035,Elephant,Hard,Animals
PA_036,Eagle,Hard,Animals
PA_037,Penguin,Hard,Animals
PA_038,Giraffe,Hard,Animals
PA_039,Dolphin,Hard,Animals
PA_040,Peacock,Hard,Animals
PA_041,Burger,Easy,Food/Drink
PA_042,Curry,Easy,Food/Drink
PA_043,Soup,Medium,Food/Drink
PA_044,Pizza,Medium,Food/Drink
PA_045,Sushi,Medium,Food/Drink
PA_046,Bread,Medium,Food/Drink
PA_047,Coffee,Medium,Food/Drink
PA_048,Pasta,Medium,Food/Drink
PA_049,Juice,Medium,Food/Drink
PA_050,Cake,Medium,Food/Drink
PA_051,Salad,Medium,Food/Drink
PA_052,Sandwich,Medium,Food/Drink
PA_053,Ice Cream,Hard,Food/Drink
PA_054,Chocolate,Hard,Food/Drink
PA_055,Tea,Hard,Food/Drink
PA_056,Mountain,Easy,Nature
PA_057,River,Easy,Nature
PA_058,Sunset,Medium,Nature
PA_059,Hurricane,Medium,Nature
PA_060,Flower,Medium,Nature
PA_061,Rain,Medium,Nature
PA_062,Tree,Medium,Nature
PA_063,Valley,Medium,Nature
PA_064,Tornado,Medium,Nature
PA_065,Ocean,Medium,Nature
PA_066,Storm,Medium,Nature
PA_067,Cloud,Medium,Nature
PA_068,Volcano,Hard,Nature
PA_069,Cave,Hard,Nature
PA_070,Rainbow,Hard,Nature
PA_071,Football,Easy,Sports
PA_072,Badminton,Easy,Sports
PA_073,Golf,Medium,Sports
PA_074,Skating,Medium,Sports
PA_075,Cricket,Medium,Sports
PA_076,Hockey,Medium,Sports
PA_077,Cycling,Medium,Sports
PA_078,Racing,Medium,Sports
PA_079,Baseball,Medium,Sports
PA_080,Archery,Medium,Sports
PA_081,Javelin Throw,Hard,Sports
PA_082,Boxing,Medium,Sports
PA_083,Tennis,Hard,Sports
PA_084,Surfing,Hard,Sports
PA_085,Basketball,Hard,Sports
PA_086,Brush,Easy,Things you hold in your hand
PA_087,Umbrella,Easy,Things you hold in your hand
PA_088,Mouth organ,Medium,Things you hold in your hand
PA_089,Scissors,Medium,Things you hold in your hand
PA_090,Racket,Medium,Things you hold in your hand
PA_091,Pen,Medium,Things you hold in your hand
PA_092,Phone,Medium,Things you hold in your hand
PA_093,Microphone,Medium,Things you hold in your hand
PA_094,Hammer,Medium,Things you hold in your hand
PA_095,Ball,Medium,Things you hold in your hand
PA_096,Knife,Medium,Things you hold in your hand
PA_097,Bat,Medium,Things you hold in your hand
PA_098,Guitar,Hard,Things you hold in your hand
PA_099,Camera,Hard,Things you hold in your hand
PA_100,Cup,Hard,Things you hold in your hand
PA_101,Jumping,Easy,Action words
PA_102,Dancing,Easy,Action words
PA_103,Swimming,Medium,Action words
PA_104,Cooking,Medium,Action words
PA_105,Playing,Medium,Action words
PA_106,Climbing,Medium,Action words
PA_107,Reading,Medium,Action words
PA_108,Writing,Medium,Action words
PA_109,Painting,Medium,Action words
PA_110,Running,Medium,Action words
PA_111,Sleeping,Medium,Action words
PA_112,Skiing,Medium,Action words
PA_113,Shooting,Medium,Action words
PA_114,Singing,Medium,Action words
PA_115,Rowing,Hard,Action words
PA_116,Flying,Hard,Action words
PA_117,Laughing,Hard,Action words
PA_118,Typing,Hard,Action words
PA_119,Crying,Hard,Action words
PA_120,Driving,Hard,Action words
PA_121,Galileo,Easy,Famous Personality - Global
PA_122,Michael Jackson,Easy,Famous Personality - Global
PA_123,Da Vinci,Medium,Famous Personality - Global
PA_124,Messi,Medium,Famous Personality - Global
PA_125,Newton,Medium,Famous Personality - Global
PA_126,Tesla,Medium,Famous Personality - Global
PA_127,Marilyn Monroe,Medium,Famous Personality - Global
PA_128,Churchill,Medium,Famous Personality - Global
PA_129,Einstein,Medium,Famous Personality - Global
PA_130,Cleopatra,Medium,Famous Personality - Global
PA_131,Oprah,Medium,Famous Personality - Global
PA_132,Gandhi,Medium,Famous Personality - Global
