id,cue_words,taboo_1,taboo_2,taboo_3,taboo_4,taboo_5
TB_001,Apple,fruit,red,iphone,tree,seed
TB_002,Sun,light,hot,sky,day,shine
TB_003,Dog,animal,pet,bark,tail,walk
TB_004,Book,read,library,page,story,cover
TB_005,Car,drive,road,wheel,engine,vehicle
TB_006,Teacher,school,class,student,learn,lesson
TB_007,Music,song,sound,band,listen,melody
TB_008,Beach,sand,sea,swim,waves,sun
TB_009,Computer,keyboard,screen,mouse,technology,code
TB_010,Doctor,hospital,medicine,patient,health,stethoscope
TB_011,Movie,film,cinema,actor,watch,screen
TB_012,Chair,seat,table,legs,wood,sit
TB_013,Football,goal,team,sport,ball,field
TB_014,Coffee,drink,cup,bean,hot,morning
TB_015,Birthday,cake,party,gift,celebrate,age
TB_016,Train,station,rail,travel,track,carriage
TB_017,Chocolate,sweet,candy,bar,dark,milk
TB_018,Airport,flight,plane,travel,runway,terminal
TB_019,Camera,picture,photo,lens,shoot,film
TB_020,Rain,umbrella,wet,storm,drop,cloud
TB_021,Phone,call,text,ring,number,smart
TB_022,Christmas,tree,holiday,santa,gift,winter
TB_023,School,learn,student,classroom,teacher,study
TB_024,Ocean,sea,water,fish,wave,blue
TB_025,Hospital,doctor,nurse,medicine,patient,care
TB_026,Bread,bakery,toast,flour,loaf,eat
TB_027,Time,clock,watch,seconds,minutes,hour
TB_028,Family,parents,home,children,love,relatives
TB_029,Garden,flowers,plants,trees,green,soil
TB_030,Police,law,officer,arrest,crime,uniform
TB_031,Mountain,climb,high,peak,snow,rock
TB_032,Airplane,fly,sky,wing,pilot,travel
TB_033,Hotel,room,stay,travel,guest,reception
TB_034,Science,experiment,laboratory,test,tube,research
TB_035,Painting,art,brush,canvas,color,artist
TB_036,Friend,trust,help,kind,close,relationship
TB_037,Money,bank,cash,coins,pay,rich
TB_038,Mirror,reflection,glass,look,face,image
TB_039,Winter,cold,snow,jacket,ice,season
TB_040,Footballer,goal,team,stadium,ball,match
TB_041,Wedding,bride,groom,marriage,ring,ceremony
TB_042,Library,books,read,silent,borrow,study
TB_043,Planet,earth,space,sun,orbit,moon
TB_044,Smile,face,happy,teeth,expression,laugh
TB_045,Train,rail,station,journey,track,travel
TB_046,Music,sound,band,melody,listen,song
TB_047,Pen,write,ink,paper,stationery,hand
TB_048,City,buildings,urban,busy,traffic,street
TB_049,Spider,web,legs,creepy,insect,arachnid
TB_050,Game,play,win,fun,score,team
TB_051,Sunshine,bright,day,warm,sky,light
TB_052,Sand Castle,beach,bucket,build,shovel,tower
TB_053,Ocean,sea,water,waves,fish,blue
TB_054,Sunglasses,eyes,shade,wear,summer,protect
TB_055,Treasure,chest,gold,pirate,hidden,map
TB_056,Turtle,shell,slow,sea,animal,swim
TB_057,Starfish,sea,ocean,arms,creature,beach
TB_058,Footprints,feet,track,sand,mark,walk
TB_059,Socks,feet,shoes,pair,cotton,warm
TB_060,Belt,waist,jeans,buckle,strap,hold
TB_061,Necklace,jewelry,chain,wear,neck,pendant
TB_062,Size,Small,Medium,Large,Fit,Measure
TB_063,Necktie,shirt,knot,formal,wear,suit
TB_064,Jacket,coat,zipper,winter,wear,warm
TB_065,Zipper,teeth,slide,open,close,jacket
TB_066,Australia,continent,kangaroo,Sydney,koala,Outback
TB_067,Shed,garden,tools,storage,wood,small
TB_068,Wardrobe,clothes,closet,hang,door,dress
TB_069,Television,watch,screen,show,remote,program
TB_070,Window,glass,view,curtain,open,frame
TB_071,Apartment,flat,building,room,house,rent
TB_072,House,home,roof,walls,door,family
TB_073,Kangaroo,Australia,pouch,hop,animal,jump
TB_074,Hostel,stay,student,room,bed,travel
TB_075,Carpet,floor,rug,soft,cover,walk
TB_076,Quilt,blanket,warm,bed,cover,stitch
TB_077,Remote Control,TV,channel,buttons,battery,change
TB_078,Hanger,clothes,hook,hang,wardrobe,metal
TB_079,Teacher,school,student,classroom,lesson,teach
TB_080,Actor,film,stage,perform,role,movie
TB_081,Farmer,field,crops,tractor,harvest,agriculture
TB_082,Firefighter,fire,rescue,truck,hose,extinguish
TB_083,Student,learn,school,teacher,class,study
TB_084,Hairdresser,salon,cut,style,scissors,hair
TB_085,Parent,mother,father,child,family,care
TB_086,Lawyer,court,judge,case,legal,client
TB_087,Influencer,social,media,followers,Instagram,brand
TB_088,Chef,cook,kitchen,food,restaurant,recipe
TB_089,Engaged,marriage,ring,fiancé,propose,wedding
TB_090,Wedding,bride,groom,ceremony,marriage,vows
TB_091,Anniversary,year,celebrate,wedding,date,party
TB_092,Birthday,cake,party,age,present,celebrate
TB_093,Pregnant,baby,mother,bump,expecting,woman
TB_094,Bride,wedding,groom,dress,marriage,veil
TB_095,Boyfriend,relationship,girlfriend,love,date,partner
TB_096,Blind Date,meet,stranger,romance,dinner,unknown
TB_097,Honeymoon,trip,couple,wedding,vacation,romantic
TB_098,Supermarket,store,groceries,shopping,cart,food
TB_099,Pharmacy,medicine,drugs,chemist,health,prescription
TB_100,Customer,buy,sell,shop,service,client
