id,left_spectrum,right_spectrum
WL_001,Cold,Hot
WL_002,Dark,Bright
WL_003,Quiet,Loud
WL_004,Easy,Difficult
WL_005,Old,New
WL_006,Cheap,Expensive
WL_007,Weak,Strong
WL_008,Small,Large
WL_009,Boring,Exciting
WL_010,Simple,Complex
WL_011,Ugly,Beautiful
WL_012,Fake,Real
WL_013,Slow,Fast
WL_014,Soft,Hard
WL_015,Short,Tall
WL_016,Light,Heavy
WL_017,Introvert,Extrovert
WL_018,Kind,Mean
WL_019,Clean,Messy
WL_020,Traditional,Modern
WL_021,Healthy,Unhealthy
WL_022,Peaceful,Chaotic
WL_023,Funny,Serious
WL_024,Popular,Unknown
WL_025,Useful,Useless
WL_026,Normal,Weird
WL_027,Safe,Risky
WL_028,Lazy,Active
WL_029,Rich,Poor
WL_030,Optimistic,Pessimistic
WL_031,Realistic,Dreamy
WL_032,Old-fashioned,Trendy
WL_033,Scary,Cute
WL_034,Luxury,Basic
WL_035,Overrated,Underrated
WL_036,Spicy,Plain
WL_037,Natural,Artificial
WL_038,Local,Global
WL_039,Logical,Emotional
WL_040,Calm,Angry
WL_041,Day,Night
WL_042,Alive,Dead
WL_043,Work,Play
WL_044,City,Village
WL_045,Good person,Bad Person
WL_046,Beach,Mountains
WL_047,Adventure,Comfort
WL_048,Planned,Spontaneous
WL_049,Private,Public
WL_050,Reality,Fiction
