id,cue_words,difficulty_lvl,category_name
PI_001,Parrot,Easy,Animals
PI_002,Rabbit,Easy,Animals
PI_003,Turtle,Easy,Animals
PI_004,Horse,Easy,Animals
PI_005,Shark,Medium,Animals
PI_006,Crab,Medium,Animals
PI_007,Camel,Medium,Animals
PI_008,Spider,Medium,Animals
PI_009,Norwhal,Hard,Animals
PI_010,Tiger,Medium,Animals
PI_011,Duck,Medium,Animals
PI_012,Hawk,Medium,Animals
PI_013,Kangaroo,Medium,Animals
PI_014,Zebra,Medium,Animals
PI_015,Lobster,Medium,Animals
PI_016,Whale,Medium,Animals
PI_017,Cow,Medium,Animals
PI_018,Crow,Medium,Animals
PI_019,Crocodile,Medium,Animals
PI_020,Bee,Medium,Animals
PI_021,Wolf,Medium,Animals
PI_022,Lion,Medium,Animals
PI_023,Butterfly,Medium,Animals
PI_024,Cat,Medium,Animals
PI_025,Fox,Medium,Animals
PI_026,Squirrel,Medium,Animals
PI_027,Snake,Medium,Animals
PI_028,Dog,Medium,Animals
PI_029,Octopus,Medium,Animals
PI_030,Ant,Medium,Animals
PI_031,Seal,Hard,Animals
PI_032,Chicken,Hard,Animals
PI_033,Goat,Hard,Animals
PI_034,Frog,Hard,Animals
PI_035,Elephant,Hard,Animals
PI_036,Eagle,Hard,Animals
PI_037,Penguin,Hard,Animals
PI_038,Giraffe,Hard,Animals
PI_039,Dolphin,Hard,Animals
PI_040,Peacock,Hard,Animals
PI_041,Burger,Easy,Food/Drink
PI_042,Curry,Easy,Food/Drink
PI_043,Soup,Medium,Food/Drink
PI_044,Pizza,Medium,Food/Drink
PI_045,Sushi,Medium,Food/Drink
PI_046,Bread,Medium,Food/Drink
PI_047,Coffee,Medium,Food/Drink
PI_048,Pasta,Medium,Food/Drink
PI_049,Juice,Medium,Food/Drink
PI_050,Cake,Medium,Food/Drink
PI_051,Salad,Medium,Food/Drink
PI_052,Sandwich,Medium,Food/Drink
PI_053,Ice Cream,Hard,Food/Drink
PI_054,Chocolate,Hard,Food/Drink
PI_055,Tea,Hard,Food/Drink
PI_056,Mountain,Easy,Nature
PI_057,River,Easy,Nature
PI_058,Sunset,Medium,Nature
PI_059,Hurricane,Medium,Nature
PI_060,Flower,Medium,Nature
PI_061,Rain,Medium,Nature
PI_062,Tree,Medium,Nature
PI_063,Valley,Medium,Nature
PI_064,Tornado,Medium,Nature
PI_065,Ocean,Medium,Nature
PI_066,Storm,Medium,Nature
PI_067,Cloud,Medium,Nature
PI_068,Volcano,Hard,Nature
PI_069,Cave,Hard,Nature
PI_070,Rainbow,Hard,Nature
PI_071,Football,Easy,Sports
PI_072,Badminton,Easy,Sports
PI_073,Golf,Medium,Sports
PI_074,Skating,Medium,Sports
PI_075,Cricket,Medium,Sports
PI_076,Hockey,Medium,Sports
PI_077,Cycling,Medium,Sports
PI_078,Racing,Medium,Sports
PI_079,Baseball,Medium,Sports
PI_080,Archery,Medium,Sports
PI_081,Javelin Throw,Hard,Sports
PI_082,Boxing,Medium,Sports
PI_083,Tennis,Hard,Sports
PI_084,Surfing,Hard,Sports
PI_085,Basketball,Hard,Sports
PI_086,Brush,Easy,Things you hold in your hand
PI_087,Umbrella,Easy,Things you hold in your hand
PI_088,Mouth organ,Medium,Things you hold in your hand
PI_089,Scissors,Medium,Things you hold in your hand
PI_090,Racket,Medium,Things you hold in your hand
PI_091,Pen,Medium,Things you hold in your hand
PI_092,Phone,Medium,Things you hold in your hand
PI_093,Microphone,Medium,Things you hold in your hand
PI_094,Hammer,Medium,Things you hold in your hand
PI_095,Ball,Medium,Things you hold in your hand
PI_096,Knife,Medium,Things you hold in your hand
PI_097,Bat,Medium,Things you hold in your hand
PI_098,Guitar,Hard,Things you hold in your hand
PI_099,Camera,Hard,Things you hold in your hand
PI_100,Cup,Hard,Things you hold in your hand
PI_101,Jumping,Easy,Action words
PI_102,Dancing,Easy,Action words
PI_103,Swimming,Medium,Action words
PI_104,Cooking,Medium,Action words
PI_105,Playing,Medium,Action words
PI_106,Climbing,Medium,Action words
PI_107,Reading,Medium,Action words
PI_108,Writing,Medium,Action words
PI_109,Painting,Medium,Action words
PI_110,Running,Medium,Action words
PI_111,Sleeping,Medium,Action words
PI_112,Skiing,Medium,Action words
PI_113,Shooting,Medium,Action words
PI_114,Singing,Medium,Action words
PI_115,Rowing,Hard,Action words
PI_116,Flying,Hard,Action words
PI_117,Laughing,Hard,Action words
PI_118,Typing,Hard,Action words
PI_119,Crying,Hard,Action words
PI_120,Driving,Hard,Action words
PI_121,Galileo,Easy,Famous Personality - Global
PI_122,Michael Jackson,Easy,Famous Personality - Global
PI_123,Da Vinci,Medium,Famous Personality - Global
PI_124,Messi,Medium,Famous Personality - Global
PI_125,Newton,Medium,Famous Personality - Global
PI_126,Tesla,Medium,Famous Personality - Global
PI_127,Marilyn Monroe,Medium,Famous Personality - Global
PI_128,Churchill,Medium,Famous Personality - Global
PI_129,Einstein,Medium,Famous Personality - Global
PI_130,Cleopatra,Medium,Famous Personality - Global
PI_131,Oprah,Medium,Famous Personality - Global
PI_132,Gandhi,Medium,Famous Personality - Global
PI_133,Shakespeare,Medium,Famous Personality - Global
PI_134,Obama,Medium,Famous Personality - Global
PI_135,Elon Musk,Hard,Famous Personality - Global
PI_136,Beyonce,Hard,Famous Personality - Global
PI_137,Mandela,Hard,Famous Personality - Global
PI_138,Beethoven,Hard,Famous Personality - Global
PI_139,Jobs,Hard,Famous Personality - Global
PI_140,Picasso,Hard,Famous Personality - Global
PI_141,Deepika Padukone,Easy,Famous Personality - Indian
PI_142,Dhoni,Easy,Famous Personality - Indian
PI_143,Lata Mangeshkar,Medium,Famous Personality - Indian
PI_144,Kamal Haasan,Medium,Famous Personality - Indian
